0,Rank,Song,Artist,Year
1,1,wooly bully,sam the sham and the pharaohs,1965
2,2,i cant help myself sugar pie honey bunch,four tops,1965
3,3,i cant get no satisfaction,the rolling stones,1965
4,4,you were on my mind,we five,1965
5,5,youve lost that lovin feelin,the righteous brothers,1965
6,6,downtown,petula clark,1965
7,7,help,the beatles,1965
8,8,cant you hear my heart beat,hermans hermits,1965
9,9,crying in the chapel,elvis presley,1965
10,10,my girl,the temptations,1965
11,11,help me rhonda,the beach boys,1965
12,12,king of the road,roger miller,1965
13,13,the birds and the bees,jewel akens,1965
14,14,hold me thrill me kiss me,mel carter,1965
15,15,shotgun,junior walker  the all stars,1965
16,16,i got you babe,sonny  cher,1965
17,17,this diamond ring,gary lewis  the playboys,1965
18,18,the in crowd,ramsey lewis trio,1965
19,19,mrs brown youve got a lovely daughter,hermans hermits,1965
20,20,stop in the name of love,the supremes,1965
21,21,unchained melody,the righteous brothers,1965
22,22,silhouettes,hermans hermits,1965
23,23,ill never find another you,the seekers,1965
24,24,cara mia,jay and the americans,1965
25,25,mr tambourine man,the byrds,1965
26,26,cast your fate to the wind,sounds orchestral,1965
27,27,yes im ready,barbara mason,1965
28,28,whats new pussycat,tom jones,1965
29,29,eve of destruction,barry mcguire,1965
30,30,hang on sloopy,the mccoys,1965
31,31,ticket to ride,the beatles,1965
32,32,red roses for a blue lady,bert kaempfert,1965
33,33,papas got a brand new bag,james brown,1965
34,34,game of love,wayne fontana  the mindbenders,1965
35,35,the name game,shirley ellis,1965
36,36,i know a place,petula clark,1965
37,37,back in my arms again,the supremes,1965
38,38,baby im yours,barbara lewis,1965
39,39,the jolly green giant,the kingsmen,1965
40,40,hush hush sweet charlotte,patti page,1965
41,41,like a rolling stone,bob dylan,1965
42,42,im telling you now,freddie and the dreamers,1965
43,43,ferry cross the mersey,gerry and the pacemakers,1965
44,44,just once in my life,the righteous brothers,1965
45,45,the seventh son,johnny rivers,1965
46,46,im henery the eighth i am,hermans hermits,1965
47,47,a walk in the black forest,horst jankowski,1965
48,48,for your love,the yardbirds,1965
49,49,california girls,the beach boys,1965
